ZoneID,Location,CCTV_Count,EmergencySOS,PoliceStationDistance_km,DailyIncidents,PriorityLevel
1,MG Road,12,Yes,1.2,5,High
2,City Mall,15,Yes,0.8,8,High
3,Bus Stand,20,Yes,0.5,12,High
4,Railway Station,25,Yes,0.4,15,High
5,Market Area,18,Yes,1.0,10,High
6,Residential Block A,8,No,2.5,2,Low
7,Residential Block B,9,No,2.8,3,Low
8,School Zone,6,Yes,1.6,1,Medium
9,College Campus,10,Yes,1.4,4,Medium
10,Hospital Area,14,Yes,0.9,6,High
11,Park Zone,5,No,3.0,1,Low
12,Industrial Area,11,Yes,2.2,7,Medium
13,Airport Road,16,Yes,1.1,9,High
14,Metro Station,18,Yes,0.6,11,High
15,Shopping Complex,13,Yes,1.0,7,Medium
16,Subway Entry,7,Yes,1.8,4,Medium
17,City Square,17,Yes,0.7,10,High
18,Old Town,9,No,2.6,3,Low
19,IT Park,12,Yes,1.5,6,Medium
20,Warehouse Zone,8,No,3.2,2,Low
21,Bus Depot,14,Yes,1.3,7,Medium
22,Traffic Junction 1,16,Yes,0.9,9,High
23,Traffic Junction 2,15,Yes,1.0,8,High
24,Traffic Junction 3,14,Yes,1.1,7,Medium
25,Flyover Area,10,Yes,1.7,5,Medium
26,Slum Area 1,6,No,3.5,4,Medium
27,Slum Area 2,5,No,3.8,3,Medium
28,Temple Area,9,Yes,1.9,4,Medium
29,Museum Area,8,Yes,2.0,3,Low
30,Beach Road,11,Yes,1.4,6,Medium
31,Harbor Zone,13,Yes,1.6,7,Medium
32,Stadium Area,15,Yes,1.0,8,High
33,Event Ground,14,Yes,1.2,7,Medium
34,City Library,6,Yes,2.1,2,Low
35,University Gate,9,Yes,1.8,4,Medium
36,Metro Parking,10,Yes,1.6,5,Medium
37,Taxi Stand,8,Yes,1.9,4,Medium
38,Auto Stand,7,Yes,2.0,3,Low
39,Highway Entry,16,Yes,1.3,9,High
40,Highway Exit,15,Yes,1.4,8,High
41,Toll Plaza,14,Yes,1.1,7,Medium
42,Service Road,9,No,2.7,3,Low
43,Underpass,8,Yes,1.8,4,Medium
44,Foot Over Bridge,6,Yes,2.2,2,Low
45,City Border Checkpost,18,Yes,0.9,10,High
46,Construction Site,7,No,3.1,3,Low
47,Bus Stop A,5,Yes,2.4,2,Low
48,Bus Stop B,6,Yes,2.3,3,Low
49,Bus Stop C,7,Yes,2.2,4,Medium
50,Metro Line End,12,Yes,1.5,6,Medium
51,Public Toilet Zone,4,No,3.6,1,Low
52,River Bridge,10,Yes,1.7,5,Medium
53,Power Station,14,Yes,1.2,7,High
54,Water Treatment Plant,12,Yes,1.6,6,Medium
55,Fire Station Area,11,Yes,1.0,5,Medium
56,Police HQ Area,16,Yes,0.5,8,High
57,Court Complex,13,Yes,0.8,7,High
58,Post Office Area,6,Yes,2.0,2,Low
59,City Museum Gate,7,Yes,2.1,3,Low
60,Shopping Street,14,Yes,1.1,8,High
61,Food Street,13,Yes,1.3,7,Medium
62,Night Market,15,Yes,1.2,9,High
63,Hostel Area,9,Yes,1.9,4,Medium
64,Pay & Park Zone,8,Yes,2.0,3,Low
65,Railway Colony,7,No,2.9,2,Low
66,Bus Workshop,6,No,3.2,2,Low
67,School Junction,8,Yes,1.7,3,Low
68,Playground Area,5,No,3.1,1,Low
69,Shopping Arcade,11,Yes,1.4,6,Medium
70,City Center Plaza,17,Yes,0.9,10,High
71,Convention Center,15,Yes,1.1,8,High
72,Suburban Station,10,Yes,1.8,5,Medium
73,Parking Lot A,6,Yes,2.3,2,Low
74,Parking Lot B,7,Yes,2.2,3,Low
75,Parking Lot C,8,Yes,2.1,4,Medium
76,Roadside Market,9,Yes,1.9,4,Medium
77,Street Corner A,5,No,3.4,1,Low
78,Street Corner B,5,No,3.3,1,Low
79,Warehouse Gate,11,Yes,1.6,6,Medium
80,Logistics Hub,14,Yes,1.2,7,High
81,City Exit Road,15,Yes,1.3,8,High
82,Service Lane,6,No,3.0,2,Low
83,Footpath Area,4,No,3.5,1,Low
84,Slum Entry Point,6,No,3.7,3,Medium
85,Metro Control Room,18,Yes,0.6,9,High
86,CCTV Control Center,20,Yes,0.4,10,High
87,Public Garden Gate,7,Yes,2.1,3,Low
88,Urban Village,8,No,2.8,2,Low
89,City Outskirts,6,No,3.9,1,Low
90,Emergency Helpline Center,15,Yes,0.7,8,High
91,High Security Zone,25,Yes,0.3,12,High
92,VVIP Movement Route,22,Yes,0.4,11,High
93,Defense Area Border,18,Yes,0.6,9,High
94,Smart City Command Center,30,Yes,0.2,15,High
95,Border Road,14,Yes,1.5,6,Medium
96,Truck Terminal,12,Yes,1.8,5,Medium
97,City Dump Yard,5,No,3.8,2,Low
98,Substation Area,9,Yes,2.0,4,Medium
99,Public Square,16,Yes,1.0,8,High
100,Central Surveillance Hub,35,Yes,0.1,20,High
